Course,UAS
Law,AAAA
Medicine,AAAA
Nursing,BCCC
Dentistry,AAAA
Architecture,AABC
Industrial Design,ABBB
Project & Facilities Management,BBBB
Real Estate,BBBB
Engineering,ABBB
Biomedical Engineering,ABBC
Chemical Engineering,AAAB
Civil Engineering,BBBB
Electrical Engineering,BBBC
Environmental Engineering,BBBC
Engineering Science,AABB
Industrial & Systems Engineering,AABC
Materials Science & Engineering,BBBB
Mechanical Engineering,AABC
Mechanical Engineering (Aeronautical),AAAA
Computing (Business Analytics),AAAA
Computing (Computer Science),AAAA
Computing (Information Security),AABB
Computing (Information Systems),AABC
Computer Engineering,AABC
Pharmacy,AAAA
Science,ABBC
Data Science and Analytics,AABC
Business Admin,AAAC
Business Admin (Accountancy),AAAA
Arts & Social Sciences,ABBB
Arts & Social Sciences (MT related),BBBC
Environmental Studies,AAAA