year,key,faculty,course,uas,employment,value,salary_25,salary_75
2015,5,FASS,Arts,75,62.5,3000,2600,3200
2015,4,FASS,Arts (Hons),75,74.1,3500,3000,3600
2015,3,FASS,Social Sciences,75,73.3,3300,3000,3650
2015,9,Business,Business Admin,82.5,80.7,3000,2837,3500
2015,8,Business,Business Admin (Hons),82.5,92.8,3620,3258,4500
2015,7,Business,Accountancy,85,86.4,2963,2800,3100
2015,6,Business,Accountancy (Hons),85,99,3075,2900,3800
2015,17,Computing,Computer Science,85,93.3,4000,3500,5000
2015,15,Computing,Information Systems,80,94,4000,3365,4500
2015,31,Medicine,Dentistry,85,100,4050,4050,4450
2015,30,Design & Environment,Architecture,80,89.8,4000,3500,4250
2015,29,Design & Environment,Industrial Design,78.75,65.6,3000,2900,4000
2015,28,Design & Environment,Project & Facilities Mgmt.,76.25,84.7,3000,2850,3276
2015,27,Design & Environment,Real Estate,76.25,92.4,3200,2950,3735
2015,26,Engineering,Biomedical Engr.,77.5,80.6,3200,3000,3500
2015,25,Engineering,Chemical Engr.,83.75,80.3,3450,3150,4000
2015,24,Engineering,Civil Engr.,76.25,91.9,3420,3200,3800
2015,14,Computing,Computer Engr.,80,85.9,3900,3467,4500
2015,23,Engineering,Electrical Engr.,75,87.6,3500,3200,4200
2015,21,Engineering,Engr. Science,81.25,74.1,3740,3350,4026
2015,22,Engineering,Environmental Engr.,75,65.5,3350,3000,3832
2015,20,Engineering,Industrial & Systems Engr.,80,78.9,3500,3300,4250
2015,19,Engineering,Materials Science & Engr.,76.25,78.4,3540,3200,3900
2015,18,Engineering,Mechanical Engr.,80,81,3400,3150,3800
2015,35,Law,Law,85,95.9,4900,4200,5600
2015,34,Medicine,Medicine,85,99.4,5000,4500,5200
2015,33,Medicine,Nursing,70,90.9,3400,3200,3425
2015,32,Medicine,Nursing (Hons),70,95.1,3500,3400,3600
2015,12,Science,Applied Science (Hons),77.5,61.9,3130,2800,3350
2015,11,Science,Science,77.5,59.4,3000,2600,3225
2015,10,Science,Science (Hons),77.5,71.7,3300,3000,3650
2015,13,Science,Pharmacy,85,97.2,3600,3300,3950
2015,2,Environmental Studies,Environmental Studies,85,67.6,3300,3000,3500